County,HHI ID
Anderson County,MHITX48001A052NCEN
Andrews County,MHITX48003A052NCEN
Angelina County,MHITX48005A052NCEN
Aransas County,MHITX48007A052NCEN
Archer County,MHITX48009A052NCEN
Armstrong County,MHITX48011A052NCEN
Atascosa County,MHITX48013A052NCEN
Austin County,MHITX48015A052NCEN
Bailey County,MHITX48017A052NCEN
Bandera County,MHITX48019A052NCEN
Bastrop County,MHITX48021A052NCEN
Baylor County,MHITX48023A052NCEN
Bee County,MHITX48025A052NCEN
Bell County,MHITX48027A052NCEN
Bexar County,MHITX48029A052NCEN
Blanco County,MHITX48031A052NCEN
Borden County,MHITX48033A052NCEN
Bosque County,MHITX48035A052NCEN
Bowie County,MHITX48037A052NCEN
Brazoria County,MHITX48039A052NCEN
Brazos County,MHITX48041A052NCEN
Brewster County,MHITX48043A052NCEN
Briscoe County,MHITX48045A052NCEN
Brooks County,MHITX48047A052NCEN
Brown County,MHITX48049A052NCEN
Burleson County,MHITX48051A052NCEN
Burnet County,MHITX48053A052NCEN
Caldwell County,MHITX48055A052NCEN
Calhoun County,MHITX48057A052NCEN
Callahan County,MHITX48059A052NCEN
Cameron County,MHITX48061A052NCEN
Camp County,MHITX48063A052NCEN
Carson County,MHITX48065A052NCEN
Cass County,MHITX48067A052NCEN
Castro County,MHITX48069A052NCEN
Chambers County,MHITX48071A052NCEN
Cherokee County,MHITX48073A052NCEN
Childress County,MHITX48075A052NCEN
Clay County,MHITX48077A052NCEN
Cochran County,MHITX48079A052NCEN
Coke County,MHITX48081A052NCEN
Coleman County,MHITX48083A052NCEN
Collin County,MHITX48085A052NCEN
Collingsworth County,MHITX48087A052NCEN
Colorado County,MHITX48089A052NCEN
Comal County,MHITX48091A052NCEN
Comanche County,MHITX48093A052NCEN
Concho County,MHITX48095A052NCEN
Cooke County,MHITX48097A052NCEN
Coryell County,MHITX48099A052NCEN
Cottle County,MHITX48101A052NCEN
Crane County,MHITX48103A052NCEN
Crockett County,MHITX48105A052NCEN
Crosby County,MHITX48107A052NCEN
Culberson County,MHITX48109A052NCEN
Dallam County,MHITX48111A052NCEN
Dallas County,MHITX48113A052NCEN
Dawson County,MHITX48115A052NCEN
Deaf Smith County,MHITX48117A052NCEN
Delta County,MHITX48119A052NCEN
Denton County,MHITX48121A052NCEN
DeWitt County,MHITX48123A052NCEN
Dickens County,MHITX48125A052NCEN
Dimmit County,MHITX48127A052NCEN
Donley County,MHITX48129A052NCEN
Duval County,MHITX48131A052NCEN
Eastland County,MHITX48133A052NCEN
Ector County,MHITX48135A052NCEN
Edwards County,MHITX48137A052NCEN
Ellis County,MHITX48139A052NCEN
El Paso County,MHITX48141A052NCEN
Erath County,MHITX48143A052NCEN
Falls County,MHITX48145A052NCEN
Fannin County,MHITX48147A052NCEN
Fayette County,MHITX48149A052NCEN
Fisher County,MHITX48151A052NCEN
Floyd County,MHITX48153A052NCEN
Foard County,MHITX48155A052NCEN
Fort Bend County,MHITX48157A052NCEN
Franklin County,MHITX48159A052NCEN
Freestone County,MHITX48161A052NCEN
Frio County,MHITX48163A052NCEN
Gaines County,MHITX48165A052NCEN
Galveston County,MHITX48167A052NCEN
Garza County,MHITX48169A052NCEN
Gillespie County,MHITX48171A052NCEN
Glasscock County,MHITX48173A052NCEN
Goliad County,MHITX48175A052NCEN
Gonzales County,MHITX48177A052NCEN
Gray County,MHITX48179A052NCEN
Grayson County,MHITX48181A052NCEN
Gregg County,MHITX48183A052NCEN
Grimes County,MHITX48185A052NCEN
Guadalupe County,MHITX48187A052NCEN
Hale County,MHITX48189A052NCEN
Hall County,MHITX48191A052NCEN
Hamilton County,MHITX48193A052NCEN
Hansford County,MHITX48195A052NCEN
Hardeman County,MHITX48197A052NCEN
Hardin County,MHITX48199A052NCEN
Harris County,MHITX48201A052NCEN
Harrison County,MHITX48203A052NCEN
Hartley County,MHITX48205A052NCEN
Haskell County,MHITX48207A052NCEN
Hays County,MHITX48209A052NCEN
Hemphill County,MHITX48211A052NCEN
Henderson County,MHITX48213A052NCEN
Hidalgo County,MHITX48215A052NCEN
Hill County,MHITX48217A052NCEN
Hockley County,MHITX48219A052NCEN
Hood County,MHITX48221A052NCEN
Hopkins County,MHITX48223A052NCEN
Houston County,MHITX48225A052NCEN
Howard County,MHITX48227A052NCEN
Hudspeth County,MHITX48229A052NCEN
Hunt County,MHITX48231A052NCEN
Hutchinson County,MHITX48233A052NCEN
Irion County,MHITX48235A052NCEN
Jack County,MHITX48237A052NCEN
Jackson County,MHITX48239A052NCEN
Jasper County,MHITX48241A052NCEN
Jeff Davis County,MHITX48243A052NCEN
Jefferson County,MHITX48245A052NCEN
Jim Hogg County,MHITX48247A052NCEN
Jim Wells County,MHITX48249A052NCEN
Johnson County,MHITX48251A052NCEN
Jones County,MHITX48253A052NCEN
Karnes County,MHITX48255A052NCEN
Kaufman County,MHITX48257A052NCEN
Kendall County,MHITX48259A052NCEN
Kenedy County,MHITX48261A052NCEN
Kent County,MHITX48263A052NCEN
Kerr County,MHITX48265A052NCEN
Kimble County,MHITX48267A052NCEN
King County,MHITX48269A052NCEN
Kinney County,MHITX48271A052NCEN
Kleberg County,MHITX48273A052NCEN
Lamar County,MHITX48277A052NCEN
Lamb County,MHITX48279A052NCEN
Lampasas County,MHITX48281A052NCEN
La Salle County,MHITX48283A052NCEN
Lavaca County,MHITX48285A052NCEN
Lee County,MHITX48287A052NCEN
Leon County,MHITX48289A052NCEN
Liberty County,MHITX48291A052NCEN
Limestone County,MHITX48293A052NCEN
Lipscomb County,MHITX48295A052NCEN
Live Oak County,MHITX48297A052NCEN
Llano County,MHITX48299A052NCEN
Loving County,MHITX48301A052NCEN
Lubbock County,MHITX48303A052NCEN
Lynn County,MHITX48305A052NCEN
McCulloch County,MHITX48307A052NCEN
McLennan County,MHITX48309A052NCEN
McMullen County,MHITX48311A052NCEN
Madison County,MHITX48313A052NCEN
Marion County,MHITX48315A052NCEN
Martin County,MHITX48317A052NCEN
Mason County,MHITX48319A052NCEN
Matagorda County,MHITX48321A052NCEN
Maverick County,MHITX48323A052NCEN
Medina County,MHITX48325A052NCEN
Menard County,MHITX48327A052NCEN
Midland County,MHITX48329A052NCEN
Milam County,MHITX48331A052NCEN
Mills County,MHITX48333A052NCEN
Mitchell County,MHITX48335A052NCEN
Montague County,MHITX48337A052NCEN
Montgomery County,MHITX48339A052NCEN
Moore County,MHITX48341A052NCEN
Morris County,MHITX48343A052NCEN
Motley County,MHITX48345A052NCEN
Nacogdoches County,MHITX48347A052NCEN
Navarro County,MHITX48349A052NCEN
Newton County,MHITX48351A052NCEN
Nolan County,MHITX48353A052NCEN
Nueces County,MHITX48355A052NCEN
Ochiltree County,MHITX48357A052NCEN
Oldham County,MHITX48359A052NCEN
Orange County,MHITX48361A052NCEN
Palo Pinto County,MHITX48363A052NCEN
Panola County,MHITX48365A052NCEN
Parker County,MHITX48367A052NCEN
Parmer County,MHITX48369A052NCEN
Pecos County,MHITX48371A052NCEN
Polk County,MHITX48373A052NCEN
Potter County,MHITX48375A052NCEN
Presidio County,MHITX48377A052NCEN
Rains County,MHITX48379A052NCEN
Randall County,MHITX48381A052NCEN
Reagan County,MHITX48383A052NCEN
Real County,MHITX48385A052NCEN
Red River County,MHITX48387A052NCEN
Reeves County,MHITX48389A052NCEN
Refugio County,MHITX48391A052NCEN
Roberts County,MHITX48393A052NCEN
Robertson County,MHITX48395A052NCEN
Rockwall County,MHITX48397A052NCEN
Runnels County,MHITX48399A052NCEN
Rusk County,MHITX48401A052NCEN
Sabine County,MHITX48403A052NCEN
San Augustine County,MHITX48405A052NCEN
San Jacinto County,MHITX48407A052NCEN
San Patricio County,MHITX48409A052NCEN
San Saba County,MHITX48411A052NCEN
Schleicher County,MHITX48413A052NCEN
Scurry County,MHITX48415A052NCEN
Shackelford County,MHITX48417A052NCEN
Shelby County,MHITX48419A052NCEN
Sherman County,MHITX48421A052NCEN
Smith County,MHITX48423A052NCEN
Somervell County,MHITX48425A052NCEN
Starr County,MHITX48427A052NCEN
Stephens County,MHITX48429A052NCEN
Sterling County,MHITX48431A052NCEN
Stonewall County,MHITX48433A052NCEN
Sutton County,MHITX48435A052NCEN
Swisher County,MHITX48437A052NCEN
Tarrant County,MHITX48439A052NCEN
Taylor County,MHITX48441A052NCEN
Terrell County,MHITX48443A052NCEN
Terry County,MHITX48445A052NCEN
Throckmorton County,MHITX48447A052NCEN
Titus County,MHITX48449A052NCEN
Tom Green County,MHITX48451A052NCEN
Travis County,MHITX48453A052NCEN
Trinity County,MHITX48455A052NCEN
Tyler County,MHITX48457A052NCEN
Upshur County,MHITX48459A052NCEN
Upton County,MHITX48461A052NCEN
Uvalde County,MHITX48463A052NCEN
Val Verde County,MHITX48465A052NCEN
Van Zandt County,MHITX48467A052NCEN
Victoria County,MHITX48469A052NCEN
Walker County,MHITX48471A052NCEN
Waller County,MHITX48473A052NCEN
Ward County,MHITX48475A052NCEN
Washington County,MHITX48477A052NCEN
Webb County,MHITX48479A052NCEN
Wharton County,MHITX48481A052NCEN
Wheeler County,MHITX48483A052NCEN
Wichita County,MHITX48485A052NCEN
Wilbarger County,MHITX48487A052NCEN
Willacy County,MHITX48489A052NCEN
Williamson County,MHITX48491A052NCEN
Wilson County,MHITX48493A052NCEN
Winkler County,MHITX48495A052NCEN
Wise County,MHITX48497A052NCEN
Wood County,MHITX48499A052NCEN
Yoakum County,MHITX48501A052NCEN
Young County,MHITX48503A052NCEN
Zapata County,MHITX48505A052NCEN
Zavala County,MHITX48507A052NCEN
