County,HPI ID
Anderson County,ATNHPIUS48001A
Andrews County,ATNHPIUS48003A
Angelina County,ATNHPIUS48005A
Aransas County,ATNHPIUS48007A
Archer County,ATNHPIUS48009A
Atascosa County,ATNHPIUS48013A
Austin County,ATNHPIUS48015A
Bandera County,ATNHPIUS48019A
Bastrop County,ATNHPIUS48021A
Bee County,ATNHPIUS48025A
Bell County,ATNHPIUS48027A
Bexar County,ATNHPIUS48029A
Blanco County,ATNHPIUS48031A
Bosque County,ATNHPIUS48035A
Bowie County,ATNHPIUS48037A
Brazoria County,ATNHPIUS48039A
Brazos County,ATNHPIUS48041A
Brewster County,ATNHPIUS48043A
Brown County,ATNHPIUS48049A
Burnet County,ATNHPIUS48053A
Caldwell County,ATNHPIUS48055A
Calhoun County,ATNHPIUS48057A
Cameron County,ATNHPIUS48061A
Cass County,ATNHPIUS48067A
Chambers County,ATNHPIUS48071A
Cherokee County,ATNHPIUS48073A
Collin County,ATNHPIUS48085A
Colorado County,ATNHPIUS48089A
Comal County,ATNHPIUS48091A
Cooke County,ATNHPIUS48097A
Coryell County,ATNHPIUS48099A
Dallas County,ATNHPIUS48113A
Dawson County,ATNHPIUS48115A
Deaf Smith County,ATNHPIUS48117A
Denton County,ATNHPIUS48121A
Ector County,ATNHPIUS48135A
Ellis County,ATNHPIUS48139A
El Paso County,ATNHPIUS48141A
Erath County,ATNHPIUS48143A
Fannin County,ATNHPIUS48147A
Fayette County,ATNHPIUS48149A
Fort Bend County,ATNHPIUS48157A
Freestone County,ATNHPIUS48161A
Galveston County,ATNHPIUS48167A
Gillespie County,ATNHPIUS48171A
Gonzales County,ATNHPIUS48177A
Gray County,ATNHPIUS48179A
Grayson County,ATNHPIUS48181A
Gregg County,ATNHPIUS48183A
Guadalupe County,ATNHPIUS48187A
Hale County,ATNHPIUS48189A
Hardin County,ATNHPIUS48199A
Harris County,ATNHPIUS48201A
Harrison County,ATNHPIUS48203A
Hartley County,ATNHPIUS48205A
Hays County,ATNHPIUS48209A
Henderson County,ATNHPIUS48213A
Hidalgo County,ATNHPIUS48215A
Hill County,ATNHPIUS48217A
Hockley County,ATNHPIUS48219A
Hood County,ATNHPIUS48221A
Hopkins County,ATNHPIUS48223A
Howard County,ATNHPIUS48227A
Hunt County,ATNHPIUS48231A
Hutchinson County,ATNHPIUS48233A
Jasper County,ATNHPIUS48241A
Jefferson County,ATNHPIUS48245A
Jim Wells County,ATNHPIUS48249A
Johnson County,ATNHPIUS48251A
Kaufman County,ATNHPIUS48257A
Kendall County,ATNHPIUS48259A
Kerr County,ATNHPIUS48265A
Kleberg County,ATNHPIUS48273A
Lamar County,ATNHPIUS48277A
Lampasas County,ATNHPIUS48281A
Lee County,ATNHPIUS48287A
Liberty County,ATNHPIUS48291A
Llano County,ATNHPIUS48299A
Lubbock County,ATNHPIUS48303A
McLennan County,ATNHPIUS48309A
Matagorda County,ATNHPIUS48321A
Maverick County,ATNHPIUS48323A
Medina County,ATNHPIUS48325A
Midland County,ATNHPIUS48329A
Milam County,ATNHPIUS48331A
Montague County,ATNHPIUS48337A
Montgomery County,ATNHPIUS48339A
Moore County,ATNHPIUS48341A
Nacogdoches County,ATNHPIUS48347A
Navarro County,ATNHPIUS48349A
Nolan County,ATNHPIUS48353A
Nueces County,ATNHPIUS48355A
Ochiltree County,ATNHPIUS48357A
Orange County,ATNHPIUS48361A
Palo Pinto County,ATNHPIUS48363A
Panola County,ATNHPIUS48365A
Parker County,ATNHPIUS48367A
Polk County,ATNHPIUS48373A
Potter County,ATNHPIUS48375A
Randall County,ATNHPIUS48381A
Rockwall County,ATNHPIUS48397A
Rusk County,ATNHPIUS48401A
San Jacinto County,ATNHPIUS48407A
San Patricio County,ATNHPIUS48409A
Scurry County,ATNHPIUS48415A
Shelby County,ATNHPIUS48419A
Smith County,ATNHPIUS48423A
Somervell County,ATNHPIUS48425A
Tarrant County,ATNHPIUS48439A
Taylor County,ATNHPIUS48441A
Terry County,ATNHPIUS48445A
Titus County,ATNHPIUS48449A
Tom Green County,ATNHPIUS48451A
Travis County,ATNHPIUS48453A
Upshur County,ATNHPIUS48459A
Uvalde County,ATNHPIUS48463A
Val Verde County,ATNHPIUS48465A
Van Zandt County,ATNHPIUS48467A
Victoria County,ATNHPIUS48469A
Walker County,ATNHPIUS48471A
Waller County,ATNHPIUS48473A
Ward County,ATNHPIUS48475A
Washington County,ATNHPIUS48477A
Webb County,ATNHPIUS48479A
Wharton County,ATNHPIUS48481A
Wichita County,ATNHPIUS48485A
Wilbarger County,ATNHPIUS48487A
Williamson County,ATNHPIUS48491A
Wilson County,ATNHPIUS48493A
Wise County,ATNHPIUS48497A
Wood County,ATNHPIUS48499A
Yoakum County,ATNHPIUS48501A
Young County,ATNHPIUS48503A
